absolute_path,class_label,labels,duration_seconds,sample_rate_hz,is_zero_byte,is_corrupted,is_duplicate,has_missing_label
ai/dataset/raw/b1_blocks_KFHU32-2.10.wav,blocks,blocks,8.4114,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.17.wav,blocks,blocks,5.1200,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.19.wav,blocks,blocks,14.2629,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.23.wav,blocks,blocks,5.3406,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.25.wav,blocks,blocks,5.3029,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.26.wav,blocks,blocks,22.7324,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.28.wav,blocks,blocks,7.3143,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.31.wav,blocks,blocks,10.1471,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.33.wav,blocks,blocks,3.2131,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.35.wav,blocks,blocks,4.3624,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.36.wav,blocks,blocks,3.7616,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.39.wav,blocks,blocks,3.5788,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.7.wav,blocks,blocks,3.6049,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU32-2.8.wav,blocks,blocks,18.3000,16000,False,False,False,False
ai/dataset/raw/b1_blocks_KFHU33-2.14.wav,blocks,blocks,1.8024,16000,False,False,False,False
ai/dataset/raw/b1_blocks_SM11.4.wav,blocks,blocks,10.3580,16000,False,False,False,False
ai/dataset/raw/b1_blocks_SM11.7.wav,blocks,blocks,2.5600,16000,False,False,False,False
ai/dataset/raw/b1_blocks_SM15-3.4.wav,blocks,blocks,1.8547,16000,False,False,False,False
ai/dataset/raw/b1_blocks_SM15-6.5.wav,blocks,blocks,1.6000,16000,False,False,False,False
ai/dataset/raw/b1_blocks_WS02.3.wav,blocks,blocks,2.1000,16000,False,False,False,False
ai/dataset/raw/b1_blocks_WS02.wav,blocks,blocks,22.2679,16000,False,False,False,False
ai/dataset/raw/b1_blocks_kfhu33-2.12.wav,blocks,blocks,2.8735,16000,False,False,False,False
ai/dataset/raw/b1_blocks_kfhu33-2.9.wav,blocks,blocks,3.6049,16000,False,False,False,False
ai/dataset/raw/b1_fluent_KFHU32-2.1.wav,fluent,fluent,2.7168,16000,False,False,False,False
ai/dataset/raw/b1_fluent_KFHU32-2.11.wav,fluent,fluent,6.0082,16000,False,False,False,False
ai/dataset/raw/b1_fluent_KFHU32-2.13.wav,fluent,fluent,9.9004,16000,False,False,False,False
ai/dataset/raw/b1_fluent_KFHU32-2.16.wav,fluent,fluent,10.5013,16000,False,False,False,False
ai/dataset/raw/b1_fluent_KFHU32-2.18.wav,fluent,fluent,9.6131,16000,False,False,False,False
ai/dataset/raw/b1_fluent_KFHU32-2.20.wav,fluent,fluent,4.9110,16000,False,False,False,False
ai/dataset/raw/b1_fluent_KFHU32-2.22.wav,fluent,fluent,18.8082,16000,False,False,False,False
ai/dataset/raw/b1_fluent_KFHU32-2.24.wav,fluent,fluent,6.1127,16000,False,False,False,False
ai/dataset/raw/b1_fluent_KFHU32-2.27.wav,fluent,fluent,0.4702,16000,False,False,False,False
ai/dataset/raw/b1_fluent_KFHU32-2.29.wav,fluent,fluent,3.6049,16000,False,False,False,False
